bams kmeans admix
SSDA10 4 2
SSDA11 3 1
SSDA12 4 2
SSDA13 3 1
SSDA14 2 3
SSDA15 4 2
SSDA16 4 2
SSDA17 4 2
SSDA18 4 2
SSDA19_filt 4 2
SSDA1 4 2
SSDA20c-3 4 2
SSDA2 3 1
SSDA3 4 2
SSDA4 4 2
SSDA5 4 2
SSDA6 3 1
SSDA7 4 2
SSDA8 4 2
SSDA9 3 1
SSDJ10 2 3
SSDJ11 2 3
SSDJ12 2 3
SSDJ13 2 3
SSDJ14 4 2
SSDJ15 3 1
SSDJ17 2 3
SSDJ18 2 3
SSDJ19c-1 3 1
SSDJ1 3 1
SSDJ20c-2 4 2
SSDJ2 2 3
SSDJ3 4 2
SSDJ4 2 3
SSDJ5 4 2
SSDJ6 3 1
SSDJ7 2 3
SSDJ8 4 2
SSDJ9 4 2
SSNA10 2 3
SSNA11 1 4
SSNA12 2 3
SSNA13 2 3
SSNA14 2 3
SSNA15 2 3
SSNA16 2 3
SSNA17 2 3
SSNA18 1 4
SSNA19 2 3
SSNA20 2 3
SSNA2 1 4
SSNA3 1 4
SSNA4 2 3
SSNA5 2 3
SSNA6 2 3
SSNA7 2 3
SSNA8 2 3
SSNA9 2 3
SSNJ10 4 2.4
SSNJ11 2 3
SSNJ12 2 3
SSNJ13 2 3
SSNJ14 2 3
SSNJ15 2 3
SSNJ16 2 3
SSNJ17 2 3
SSNJ18 2 3
SSNJ1 2 3
SSNJ2 2 3
SSNJ3 2 3
SSNJ4 2 3
SSNJ5 2 3
SSNJ6 2 3
SSNJ7 2 3
SSNJ8 2 3
SSNJ9 1 3.4
SSOA10 2 3
SSOA11 1 4
SSOA12 2 3
SSOA13 2 3
SSOA14 2 3
SSOA15 2 3
SSOA16 2 3
SSOA17 2 3
SSOA18 2 3
SSOA19 2 3
SSOA1 1 4
SSOA20 2 3
SSOA2 1 4
SSOA3 2 3
SSOA5 2 3
SSOA6 2 3
SSOA7 2 3
SSOA9 2 3
SSOJ10 2 3
SSOJ11 2 3
SSOJ12 2 3
SSOJ14 2 3
SSOJ15 2 3
SSOJ16 2 3
SSOJ17 2 3
SSOJ19 2 3
SSOJ1 2 3
SSOJ20c-1 2 3
SSOJ2 2 3
SSOJ3 2 3
SSOJ4 2 3
SSOJ5 2 3
SSOJ6 2 3
SSOJ7 2 3
SSOJ8 2 3
SSOJ9 2 3
